"ID","PM25","Temperatura","Wilgotnosc","Cisnienie"
8077,22.67,5.14,94.21,1020.16
10211,29.47,2.88,85.47,1019.73
87160,32.86,4.79,94.25,1022.74
103967,NA,NA,NA,NA
103904,29.41,5.96,90.57,1021.93
86934,21.39,4.57,94.21,1018.77
58,NA,NA,NA,NA
17,29.46,NA,NA,NA
87166,NA,NA,NA,NA
87164,33.18,2.81,91.3,1022.66
10043,34.5,2.84,91.63,1020.25
101557,29.4,NA,NA,1021.57
8076,22.04,4.99,94.36,NA
103969,33.81,4.9,92.83,1023.27
37818,28.67,3.9,94.38,1019.73
86949,28.8,4.21,94.94,1018.82
2935,22.47,4.52,94.19,1021.54
38444,27.52,3.96,94.27,1020.28
39735,29.06,3.96,95,1018.11
106665,26.86,3.95,94.94,1018.92
86936,23.12,4.9,72.16,1019.34
8165,25.52,4.7,94.25,1018.91
10053,32.29,2.85,91.72,1020.5
10039,28.13,2.8,91.45,1020.34
1026,29.76,5.04,70.37,1018.54
86941,24.27,4.39,94.19,1018.4
86980,28.85,4.21,95,1018.8
90118,29.39,3.72,94.41,1021
86909,22.72,4.95,93.85,1020.95
39577,28.9,5.02,94.19,1021
18410,NA,NA,NA,NA
87029,23.85,NA,NA,1021.01
86932,25.72,4.73,94.25,1018.49
60,NA,NA,NA,NA
86904,23.18,4.65,69.56,1019.51
97303,29.18,5.24,94.36,1020.13
10279,35.23,2.79,69.73,1019.66
43068,29.95,3.88,94.85,1020.2
10042,33.86,2.87,92.06,1021.8
10032,29.45,4.22,94.94,NA
86918,26.65,3.76,80.63,1019.34
80731,28.23,4.14,78.04,1019.64
86898,NA,NA,NA,NA
103971,35.98,4.82,93.52,1022.34
86906,25.15,4.64,94.38,1020.73
41210,28.98,3.41,70.28,1019.59
87058,26.41,3.72,94.25,1019.33
8973,26.5,NA,NA,1019.08
40699,26.37,3.52,94.19,1021.14
7956,28.24,3.82,82.91,1018.09
33033,29.75,4.05,94.25,1020.26
86901,NA,NA,NA,NA
103387,29.38,3.74,94.25,1019.58
86915,22.56,4.52,94.19,1018.88
7634,NA,NA,NA,NA
90388,29.51,4.18,89.92,1020.12
10463,26.96,2.91,94.65,1019.48
32907,30.78,NA,NA,1019.96
11248,26.02,3.29,73.03,1018.73
86896,23.28,4.66,94.38,1019.12
40571,25.93,3.82,94.19,1020.47
18,NA,NA,NA,NA
42665,42.9,5.58,94.94,1018.52
86899,25.26,6.21,94.22,1020.73
86840,NA,NA,NA,NA
90552,31.97,4.42,93.04,1021.28
86905,28.53,4.87,94.19,1017.78
103311,31.18,6.15,89.77,1020.64
41246,28.98,3.71,94.94,1019.2
5651,20.41,4.69,94.19,1018.63
2513,21.19,4.66,94.25,1020.33
36605,27.46,4.25,94.19,1019.06
7456,25.65,4.65,94.38,1016.69
5624,37.41,4.22,94.94,1021.42
87014,26,3.72,89.84,1020.39
11473,30.39,3.93,94.98,1019.19
98153,23.58,5.99,89.1,1019.63
59,NA,NA,NA,NA
86917,NA,NA,NA,NA
7617,24.58,4.22,69.69,1018.01
39433,33.41,4.15,94.94,1019.74
86800,40.15,3.76,94.94,1020.29
8979,20.37,4.23,94.14,1018.97
86920,NA,NA,NA,NA
86914,29.13,3.89,70.28,1019.47
238,21.47,4.36,94.36,1020.51
36475,20.14,4.61,94.25,1019.39
36654,21.59,3.49,94.38,1019.15
7758,NA,NA,NA,NA
9077,19.96,4.22,94.38,1018.34
7844,23.9,4.24,94.5,1018.82
102630,27.91,4.37,86.04,1018.85
86910,29.87,4.15,94.94,1019.49
86925,24.27,4.56,72.69,1019.65
86961,30.7,4.46,94.29,1020.53
6070,22.51,4.01,94.38,1020.28
6147,23.29,4.23,94.19,1018.26
33053,24.1,4.12,94.38,1019.33
19,22.4,NA,NA,NA
86998,NA,NA,NA,NA
38615,NA,NA,NA,NA
5709,NA,NA,NA,NA
7683,NA,NA,NA,NA
18769,NA,NA,NA,NA
101102,NA,NA,NA,NA
86902,NA,NA,NA,NA
12001,NA,NA,NA,NA
18768,NA,NA,NA,NA
82510,NA,NA,NA,NA
86963,NA,NA,NA,NA
7915,NA,NA,NA,NA
6068,NA,NA,NA,NA
101104,NA,NA,NA,NA
32985,NA,NA,NA,NA
7554,NA,NA,NA,NA
42516,NA,NA,NA,NA
96339,NA,NA,NA,NA
82333,NA,NA,NA,NA
246,NA,NA,NA,NA
90148,NA,NA,NA,NA
2865,NA,NA,NA,NA
36477,NA,NA,NA,NA
13167,NA,NA,NA,NA
36480,NA,NA,NA,NA
8152,NA,NA,NA,NA
7467,NA,NA,NA,NA
7768,NA,NA,NA,NA
103261,NA,NA,NA,NA
36742,NA,NA,NA,NA
10051,NA,NA,NA,NA
7584,NA,NA,NA,NA
7917,NA,NA,NA,NA
32871,NA,NA,NA,NA
7385,NA,NA,NA,NA
31130,NA,NA,NA,NA
397,NA,NA,NA,NA
5649,NA,NA,NA,NA
5759,NA,NA,NA,NA
11958,NA,NA,NA,NA
103326,NA,NA,NA,NA
354,NA,NA,NA,NA
43262,NA,NA,NA,NA
33052,NA,NA,NA,NA
9996,NA,NA,NA,NA
2467,NA,NA,NA,NA
7656,NA,NA,NA,NA
7427,NA,NA,NA,NA
811,NA,NA,NA,NA
335,NA,NA,NA,NA
11359,NA,NA,NA,NA
101090,NA,NA,NA,NA
7386,NA,NA,NA,NA
11337,NA,NA,NA,NA
86610,NA,NA,NA,NA
6076,NA,NA,NA,NA
32810,NA,NA,NA,NA
36808,NA,NA,NA,NA
11483,NA,NA,NA,NA
7383,NA,NA,NA,NA
13209,NA,NA,NA,NA
90353,NA,NA,NA,NA
102632,NA,NA,NA,NA
7055,NA,NA,NA,NA
33050,NA,NA,NA,NA
98109,NA,NA,NA,NA
37252,NA,NA,NA,NA
40334,NA,NA,NA,NA
492,NA,NA,NA,NA
18506,NA,NA,NA,NA
37595,NA,NA,NA,NA
64,NA,NA,NA,NA
86715,NA,NA,NA,NA
521,NA,NA,NA,NA
100427,NA,NA,NA,NA
9008,NA,NA,NA,NA
2832,NA,NA,NA,NA
101120,NA,NA,NA,NA
12010,NA,NA,NA,NA
366,NA,NA,NA,NA
7850,NA,NA,NA,NA
503,NA,NA,NA,NA
7012,NA,NA,NA,NA
87002,NA,NA,NA,NA
97487,NA,NA,NA,NA
18622,NA,NA,NA,NA
8126,NA,NA,NA,NA
2827,NA,NA,NA,NA
615,NA,NA,NA,NA
2066,NA,NA,NA,NA
326,NA,NA,NA,NA
620,NA,NA,NA,NA
86723,NA,NA,NA,NA
40916,NA,NA,NA,NA
87003,NA,NA,NA,NA
82310,NA,NA,NA,NA
37719,NA,NA,NA,NA
87191,NA,NA,NA,NA
6887,NA,NA,NA,NA
31100,25.16,3.48,70.79,1018.24
18512,NA,NA,NA,NA
2545,20.81,4.63,95,1020.26
2599,26.51,4.19,95.5,1020.49
11990,23.75,3.3,95.5,1019.31
87172,31.32,3.48,93.39,1020.69
32808,24.46,3.26,70.02,1019.8
90144,18.14,3.79,95.5,1019.92
6116,22.81,4.14,70.32,1021.41
7912,17.54,3.08,95.5,1018.47
37250,23.25,3.28,94.75,1019.41
7384,37.06,3.02,70.78,1019.03
318,13.78,3.56,70.4,1018.85
86688,NA,NA,NA,NA
39463,37.79,3.76,94.95,1020.92
2869,23.09,4.52,94.95,1020.83
11336,24.07,4.29,95,1018.61
2655,20.58,4.73,94.5,1021.38
103086,32.07,3.34,88.14,1020.4
98106,21.08,5.64,92.41,1019.46
18766,21.14,2.75,95.31,1020.51
6628,20.96,4.34,94.75,1017.64
2739,25.12,4.03,82.35,1020.09
9106,NA,NA,NA,NA
101088,20.95,6.46,69.74,1020.53
32851,NA,NA,NA,NA
5761,31.33,3.75,95.13,1018.64
98156,37.56,5.31,90.57,1013.37
36939,16.61,3.21,95.13,1018.3
35766,31.33,3.21,95.5,1019.2
87286,30.6,3.61,94.25,1019.86
2554,28.85,4.12,94.63,1020.91
90026,19.92,3.85,87.91,1019.28
6649,24.12,4.18,83.22,1017.62
100095,30.27,5.31,91.16,1021.36
7458,25.18,4.17,70.38,1018.15
6072,25.82,4.56,94.75,1018.64
6891,31.54,2.9,95,1017.76
11338,21.35,4.93,94.75,1020.2
2651,NA,NA,NA,NA
8816,25.18,3.78,94.75,1018.78
6456,21.13,4.22,69.5,1020.74
87053,26.3,4,86.44,1020.56
2975,55.53,3.67,79.57,1018.77
317,18.97,3.94,95.09,1019.89
7051,NA,NA,NA,NA
31123,27.72,4.1,95.5,1019.23
39611,32.81,3.99,94.75,1019.42
2383,33.29,3.61,69.85,1020.18
43478,27.79,4.94,94.75,1020.61
11350,23.7,3.45,94.75,1017.31
8124,25.19,3.94,93.61,1018.32
7460,20.33,3.55,94.01,1017.85
5707,NA,NA,NA,NA
388,15.86,4.01,70.32,1017.87
87134,20.29,3.62,92.43,1020.05
2419,11.23,2.9,92.19,1019.81
87136,19.7,3.04,95.5,1019.66
2581,32.68,4.21,76.25,1019.57
10478,23.94,4.19,95.06,1019.13
8154,22.22,4.01,95.02,1018.91
7687,26.28,4.55,94.75,1018.24
12091,20,3.35,95.06,1017.62
11334,24.38,3.63,94.75,1018.63
11335,23.64,4.12,94.19,1017.56
35752,29.83,3.99,94.75,1020.22
90555,21.27,5.91,89.88,1020.52
2454,31.72,3.75,94.75,1020.02
6093,23.12,4.33,95.06,1019.1
10363,33.78,4.85,94.75,1017.14
7580,27.05,4.52,94.75,1018.52
312,NA,NA,NA,NA
96253,36.89,3.79,88.26,1020.59
7983,NA,NA,NA,NA
38550,18.56,3.36,96.25,1018.08
37713,NA,NA,NA,NA
38551,26.32,2.81,96.25,1020.31
37248,21.24,3.59,95,1018.14
7059,20.16,3.78,95.13,1017.43
11672,NA,NA,NA,NA
31121,25.24,3.62,94,1019.33
