"ID","PM25","Temperatura","Wilgotnosc","Cisnienie"
2827,NA,NA,NA,NA
615,NA,NA,NA,NA
2066,NA,NA,NA,NA
326,NA,NA,NA,NA
620,NA,NA,NA,NA
86723,NA,NA,NA,NA
40916,NA,NA,NA,NA
87003,NA,NA,NA,NA
82310,NA,NA,NA,NA
37719,NA,NA,NA,NA
87191,NA,NA,NA,NA
6887,NA,NA,NA,NA
31100,8.09,3.01,70.78,1010.62
18512,NA,NA,NA,NA
2545,6.76,4.06,96.25,1012.24
2599,4.21,3.77,95.5,1012.51
11990,7.76,2.82,95.5,1011.66
87172,14.54,3.14,95.61,1013.06
32808,12.99,2.75,76.88,1012.21
90144,7.21,3.03,95.5,1012.03
6116,9.59,3.58,70.8,1013.58
7912,7.74,2.7,95.5,1010.95
37250,14.97,2.87,95.5,1011.65
7384,7.82,2.61,70.94,1011.52
318,5.93,3.1,76.44,1011.15
86688,NA,NA,NA,NA
39463,32.95,3.72,96,1013.2
2869,10.19,3.84,96.5,1012.88
11336,7.07,3.36,96.47,1010.77
2655,5.98,4.18,95.88,1013.54
103086,12.58,2.36,93.53,1012.77
98106,10.92,4.68,94.2,1011.74
18766,8.48,2.39,94.66,1013.03
6628,10.12,3.83,95.88,1009.87
2739,13.18,3.78,83.04,1011.99
9106,NA,NA,NA,NA
101088,6.93,5.82,71.22,1012.95
32851,NA,NA,NA,NA
5761,7.75,2.9,94.63,1011.06
98156,22.12,4.91,95.48,1005.78
36939,7.52,2.49,94.42,1010.65
35766,3.97,3.32,95.63,1011.5
87286,11.9,3.49,96.44,1012.22
2554,5.45,2.73,95.5,1013.31
90026,6.97,3.24,89.65,1011.73
6649,16.88,3.98,83.49,1009.84
100095,11.35,5.16,93.16,1013.6
7458,8.19,3.42,70.79,1010.74
6072,3.59,3.32,95.25,1010.94
6891,12.27,2.12,94.6,1010.31
11338,9.86,4.51,95.88,1012.63
2651,7.11,2.23,99.4,1012.79
8816,11,3.31,95.5,1010.92
6456,2.65,3.33,71.51,1012.72
87053,9.21,3.67,86.7,1013.03
2975,26.99,3.7,82.45,1010.97
317,11.21,3.18,94.45,1012.71
7051,NA,NA,NA,NA
31123,4.36,3.4,95.63,1011.62
39611,3.57,2.84,95.25,1011.81
2383,6.98,2.55,70.8,1012.49
43478,12.79,3.47,95.25,1012.6
11350,12.26,3.46,95.88,1009.4
8124,10.32,3.4,95.5,1010.89
7460,6.64,2.93,93.05,1010.24
5707,NA,NA,NA,NA
388,8.46,3.71,70.68,1010.17
87134,6.06,2.93,95.5,1012.6
2419,0.54,2.09,95.5,1012.25
87136,5.97,2.5,95.09,1012.1
2581,10.3,2.49,84.27,1011.8
10478,10.57,3.68,95.5,1011.49
8154,10.08,3.46,95.31,1011.28
7687,3.18,3.36,95.25,1010.58
12091,10.86,2.6,94.5,1010.68
11334,6.73,3.11,95.19,1010.85
11335,5.93,3.22,96.2,1009.6
35752,7.28,2.86,95.25,1012.61
90555,16.4,5.23,92.1,1012.73
2454,5.36,2.52,95.5,1012.38
6093,9.41,3.72,95.5,1011.49
10363,3.9,3.67,95.25,1009.39
7580,5.44,3.19,95.25,1011.05
312,NA,NA,NA,NA
96253,15.9,3.34,88.1,1012.74
7983,NA,NA,NA,NA
38550,5.25,2.6,94.45,1010.53
37713,NA,NA,NA,NA
38551,14.83,2.4,94.94,1012.59
37248,11.12,3.1,95.31,1010.55
7059,13.99,2.88,94.5,1009.77
11672,NA,NA,NA,NA
31121,6.06,2.28,99.25,1011.87
6074,3.41,3.13,95.25,1012.7
11660,16.59,3.65,70.67,1011.83
7994,11.5,2.94,98.5,1011.5
286,2.75,3.26,95.26,1011.09
2890,9.05,3.82,93.88,1012.2
2564,0.54,2.22,75.31,1012.18
86689,9.38,3.23,95.5,1012.54
38554,8.53,2.72,86.02,1013.55
38557,6.22,2.06,94.75,1011.83
97309,17.75,4.5,92.3,1008.95
42635,6.2,3.43,96.25,1012.31
11693,4.38,3.2,95.25,1010.79
681,12.03,5.08,94.07,1012.14
7008,12.24,3.54,93.88,1010.95
2553,4.85,2.65,95.14,1012.75
371,NA,NA,NA,NA
42636,8.72,2.26,98.75,1012.34
86561,17.93,3.37,95.91,1011.25
37924,NA,NA,NA,NA
