"ID","PM25","Temperatura","Wilgotnosc","Cisnienie"
8077,9.9,4.87,96.25,1016.39
10211,15.64,3.28,84.93,1016.3
87160,22.24,5.1,95.78,1019.3
103967,NA,NA,NA,NA
103904,20.64,6.24,92.84,1018.68
86934,9.52,4.4,96.25,1015.52
58,NA,NA,NA,NA
17,12.35,NA,NA,NA
87166,NA,NA,NA,NA
87164,20.01,3.21,93.05,1019.19
10043,17.9,3.3,93.39,1016.86
101557,18.16,NA,NA,1018.02
8076,10.5,5.27,95.5,NA
103969,22.83,5.32,94.61,1019.97
37818,14.94,4.43,95.5,1016.51
86949,18.06,4.64,94.25,1015.44
2935,14.4,4.66,96.25,1018.16
38444,16.7,4.34,95.5,1017.24
39735,17.63,4.4,94.25,1014.95
106665,15.77,4.29,94.25,1015.89
86936,11.09,4.85,77.11,1015.81
8165,14.73,4.75,96.25,1015.67
10053,21.96,3.23,93.29,1017.05
10039,18.85,3.27,93.21,1016.86
1026,17.12,5.62,69.62,1015.11
86941,12.39,4.54,96.25,1015.38
86980,17.87,4.39,93.44,1015.42
90118,16.25,3.92,92.63,1017.84
86909,10.89,5.33,93.4,1017.52
39577,17.77,5.36,96.25,1017.2
18410,NA,NA,NA,NA
87029,12.95,NA,NA,1018.03
86932,14.19,5.06,96.25,1015.19
60,NA,NA,NA,NA
86904,12.19,4.69,71.55,1016.12
97303,16.25,5.85,94.96,1016.88
10279,17.3,3.56,73.18,1016.24
43068,18.44,4.45,94.08,1016.84
10042,20.39,3.61,92.53,1018.23
10032,17.09,4.41,93.38,NA
86918,16,4.33,82.73,1015.9
80731,16.78,4.43,82.27,1016.22
86898,NA,NA,NA,NA
103971,22.05,5.54,93.15,1019
86906,12.88,4.99,95.5,1017.24
41210,17.74,4.07,69.65,1016.33
87058,15.08,3.93,96.25,1016.11
8973,14.03,NA,NA,1015.8
40699,17.9,3.85,96.05,1017.89
7956,16.63,4.14,82.76,1014.77
33033,13.87,4.13,96.25,1017.15
86901,NA,NA,NA,NA
103387,19.99,4,96.25,1016.32
86915,11.7,4.76,96.25,1015.64
7634,NA,NA,NA,NA
