"ID","PM25","Temperatura","Wilgotnosc","Cisnienie"
8077,26.03,3.7,92.5,1003.43
10211,30.29,1.88,78.6,1002.96
87160,33.97,3.72,92.5,1005.92
103967,NA,NA,NA,NA
103904,36.95,4.82,89.09,1005.15
86934,24.67,3.44,92.5,1001.93
58,NA,NA,NA,NA
17,36.61,NA,NA,NA
87166,NA,NA,NA,NA
87164,42.33,1.72,91.32,1005.75
10043,43.49,1.43,90.89,1003.42
101557,23.66,NA,NA,1004.92
8076,21.72,3.72,92.5,NA
103969,40.49,3.79,91.94,1006.48
37818,NA,NA,NA,NA
86949,31.93,3.23,91.75,1001.98
2935,26.27,3.46,92.5,1004.79
38444,28.7,2.56,92.5,1003.76
39735,19.6,3.35,91.75,1001.35
106665,16.16,3.46,91.75,1002.21
86936,25.29,3.65,69.62,1002.73
8165,30.33,3.39,92.5,1002.22
10053,35.77,1.6,91.24,1003.71
10039,39.01,1.54,90.33,1003.59
1026,11.88,4.32,88.02,1001.82
86941,32.24,3.55,92.5,1001.76
86980,37.13,2.53,91.81,1002.07
90118,24.9,2.47,91.36,1004.28
86909,21.96,3.72,92.05,1004.31
39577,29.86,3.98,92.5,1003.74
18410,NA,NA,NA,NA
87029,34.29,NA,NA,1004.48
86932,28.5,3.68,92.5,1001.84
60,NA,NA,NA,NA
86904,32.9,3.16,67.83,1002.93
97303,30.9,4.28,92.34,1003.53
10279,36.71,1.65,67.74,1003.01
43068,10.55,3.63,91.52,1003.42
10042,42.82,1.6,91.05,1005.04
10032,14.06,3.44,91.76,NA
86918,6.64,3.49,71.96,1002.81
80731,31.76,2.89,73.98,1003.05
86898,NA,NA,NA,NA
103971,39.23,3.66,91.5,1005.65
86906,22.85,3.27,92.5,1004.12
41210,32.04,2.77,82.71,1002.79
87058,36.38,2.21,92.5,1002.63
8973,26.85,NA,NA,1002.37
40699,NA,NA,NA,NA
7956,27.25,2.49,91.57,1001.36
33033,32.75,2.57,92.5,1003.73
86901,NA,NA,NA,NA
103387,30.24,2.57,92.5,1002.95
86915,29.4,3.36,92.5,1002.15
7634,NA,NA,NA,NA
90388,19.03,3.34,87.59,1003.4
10463,26.75,2.6,91.75,1002.64
32907,30.33,NA,NA,1003.39
11248,15.15,3.21,67.08,1001.84
86896,22.72,3.56,92.5,1002.53
40571,33.96,2.63,92.5,1003.82
18,NA,NA,NA,NA
42665,14.62,4.98,91.81,1002.64
86899,29.38,4.82,92.5,1004.21
86840,NA,NA,NA,NA
90552,13.94,3.97,91.81,1004.7
86905,28.39,3.37,92.5,1001.29
103311,20.59,5.09,87.09,1004.02
41246,18.41,3.26,83.58,1002.44
5651,28.45,3.59,92.5,1002.12
2513,28.28,3.26,92.5,1003.84
36605,28.9,3.02,92.5,1002.55
7456,31.2,3.51,92.5,1000.32
5624,14.33,3.72,91.75,1004.72
87014,31.81,2.94,88.76,1003.88
11473,35.48,2.63,91.75,1002.4
98153,29.56,4.99,87.81,1003.23
59,NA,NA,NA,NA
86917,NA,NA,NA,NA
7617,29.33,3.26,67.84,1001.61
39433,13.07,3.25,91.81,1003.27
86800,11.79,3.54,91.75,1003.47
8979,27.01,3.2,92.5,1002.5
86920,NA,NA,NA,NA
86914,30.22,2.31,91.81,1002.95
238,27.2,3.01,92.5,1004.2
36475,26.04,3.51,92.5,1002.96
36654,38.02,2.23,92.5,1002.89
7758,NA,NA,NA,NA
9077,26.49,3.26,92.5,1002.05
7844,25.75,3.36,92.94,1002.24
102630,30.15,3.32,84.42,1002.52
86910,12.33,3.77,91.75,1002.72
86925,28.86,3.4,69.84,1002.87
86961,34.84,3.4,92,1003.65
6070,30.88,3.14,92.5,1003.87
6147,31.74,2.71,92.5,1001.94
33053,35.69,3.01,92.94,1002.76
19,29.17,NA,NA,NA
86998,29.73,2.65,92.5,1003.98
38615,10.75,3.43,91.75,1003.15
5709,28.2,3.17,67.83,1001.62
7683,41.61,3.26,92.5,1003.27
18769,44.02,3.07,92.94,1003.27
101102,25.15,5.54,88.2,1003.73
86902,30.3,2.46,92.63,1002.27
12001,NA,NA,NA,NA
18768,45.54,2.58,92.94,1002.87
82510,67.12,NA,NA,1003.92
86963,27.93,3.39,92.5,1003
7915,30.88,3.16,89.15,1002.54
6068,25.02,3.35,92.5,1002.14
101104,25.03,5.52,88.79,997.15
32985,23.77,2.95,92.5,1003.3
7554,40.59,3.09,92.5,1002.55
42516,30.63,2.88,91.81,1001.98
96339,36.67,3.83,88.85,1004.13
82333,55.91,1.84,92.24,1004.98
246,25.19,3.24,92.5,1003.28
90148,27.06,3.23,88.6,1003.88
2865,10.8,3.45,67.1,1004.52
36477,27.42,3.39,92.98,1001.79
13167,16.78,3.62,91.81,1002.19
36480,12.06,3.41,91.75,1002.34
8152,24.39,3.37,78.39,1004.1
7467,NA,NA,NA,NA
7768,10.8,3.61,91.75,1002.68
103261,43.2,4.43,86.99,1003.95
36742,22.7,3.19,92.5,1002.61
10051,34.65,2.31,90.6,1002.19
7584,7.26,3.44,91.75,1001.24
7917,20.21,3.8,91.88,1000.84
32871,23.51,3.51,92.88,1001.93
7385,10.58,NA,NA,1001.45
31130,29.77,3.12,92.94,1002.74
397,75.95,3.57,92.94,1002.48
5649,41.22,2.75,75.4,1001.9
5759,7.57,3.79,91.75,1001.86
11958,27.59,2.54,91.13,1002.61
103326,37.35,2.42,91.65,1004.03
354,26.58,3.42,92.5,1002.76
43262,31.89,2.51,91.07,1004.6
33052,37.15,3.28,92.94,1002.17
9996,NA,NA,NA,NA
2467,12.75,4.44,68.61,1003.37
7656,4.78,3.81,88.59,1002.08
7427,29.51,2.82,91.17,1004.01
811,39.11,4.2,92.93,1002.15
335,48.71,2.39,88.67,NA
11359,11.72,3.94,91.88,1004.18
101090,25.95,5.05,90.22,1004.58
7386,2.44,2.13,70.18,1001.73
11337,27.1,2.37,92.63,1002.04
86610,NA,NA,NA,NA
6076,14.84,4.18,91.81,1002.46
32810,31.5,2.9,86.62,1002.19
36808,6.08,4.97,91.75,1003.06
11483,26.68,3.93,91.81,1001.66
7383,31.91,2.97,79.54,1002.12
13209,31.14,3.02,76.44,1001.91
90353,22.26,3.75,86.61,1003.68
102632,NA,NA,NA,NA
7055,19.98,3.77,84.35,1001.98
33050,26.77,3.27,92.94,1002.4
98109,28.37,4.78,85.82,1003.53
37252,21.64,2.65,92.5,1003.02
40334,25.63,NA,NA,1004.54
492,22.55,3.61,91.08,1002.15
18506,13.41,3.79,91.88,1003.34
37595,6.15,3.32,91.81,1002.34
64,NA,NA,NA,NA
86715,5.94,3.78,91.75,1004.38
521,38.38,4.14,92.93,1000.51
100427,38.18,4.86,87.86,996.92
9008,17,3.86,91.81,1002.51
2832,38.58,2.54,92.5,1004.68
101120,7.54,5.43,84.7,1004.23
12010,36.11,1.95,91.13,1003.66
366,NA,NA,NA,NA
7850,3.51,2.58,91.89,1001.81
503,36.12,3.69,92.94,1002.51
7012,52.71,3.55,91.94,1000.67
87002,25.69,3.03,87.63,1003.26
97487,102.37,2.73,86.35,1003.7
18622,10.33,3.76,91,1003.75
8126,23.71,2.27,91.13,1002.2
2827,38.33,2.76,92.5,1004.07
615,20.95,4.7,91.48,1001.11
2066,NA,NA,NA,NA
326,7,3.85,89.97,1000.92
620,4.58,3.83,91,1001.74
86723,71.1,4.86,88.05,1003.62
40916,25.48,2.88,91.5,1004.74
87003,20.63,4.37,88.81,1004.13
82310,12.65,3.25,91.81,1002.37
37719,10.87,3.48,91,1003.17
87191,19.01,2.88,86.87,1003.35
6887,5.89,3.67,89.94,1000.35
31100,26.15,3.59,66.8,1002.03
18512,NA,NA,NA,NA
2545,22.86,2.98,92.63,1004.01
2599,29.35,3.2,89.66,1004.11
11990,21.67,3.52,91.5,1003.07
87172,87.52,2.43,89.45,1003.75
32808,22.75,2.55,67.82,1003.57
90144,22.71,3.49,91.5,1003.87
6116,33.5,3.47,67.44,1004.7
7912,15.25,3.22,91.44,1002.33
37250,62.02,1.74,92.5,1003.34
7384,16.22,2.71,77.43,1003.17
318,21.4,3.29,66.43,1002.35
86688,NA,NA,NA,NA
39463,35.75,3.21,92,1004.05
2869,24.87,2.67,92.63,1004.65
11336,29.31,2.63,92.63,1002.37
2655,26.62,4.07,92.94,1004.86
103086,5.62,5.5,81.57,1003.95
98106,24.04,4.89,89.65,1003.4
18766,24.26,2.47,91.5,1004.31
6628,22.52,3.56,92.5,1001.34
2739,22.63,2.79,81.24,1003.69
9106,NA,NA,NA,NA
101088,33.09,6.01,68.34,1004.05
32851,NA,NA,NA,NA
5761,8.02,4.5,91,1002.15
98156,153.88,6.13,81.99,996.78
36939,20.23,3.06,91.13,1002.09
35766,23.77,3.23,83.6,1002.7
87286,65.49,2.83,85.08,1002.89
2554,18.4,4.03,90,1004.67
90026,51.21,3.02,85.59,1002.77
6649,40.45,3.52,74.49,1001.02
100095,79.41,4.22,87.68,1004.42
7458,29.11,3.89,67.47,1001.6
6072,34.45,2.47,92.57,1002.34
6891,5.45,3.75,91,1001.32
11338,33.29,3.7,92.5,1004.01
2651,10.28,3.61,91.25,1004.37
8816,26.76,2.86,92.5,1002.69
6456,27.03,2.13,93.88,1004.47
87053,11.21,3.33,82.79,1004.71
2975,87.68,2.73,75.93,1001.85
317,33.35,3,91.08,1004.17
7051,NA,NA,NA,NA
31123,20.68,3.53,91.81,1002.86
39611,23.28,2.87,92.38,1003.06
2383,30.59,3.18,65.24,1003.68
43478,21.85,3.45,92.12,1004.28
11350,42.44,2.11,92.5,1001.16
8124,32.05,3.68,90.33,1001.62
7460,25.28,3.47,66.79,1001.87
5707,NA,NA,NA,NA
388,47.92,3.67,67.51,1001.1
87134,16.57,2.9,90.21,1003.9
2419,3.53,2.52,90,1003.52
87136,13.43,2.82,91.44,1003.56
2581,13.37,3.55,91.25,1003.76
10478,60.01,3.36,92.13,1002.55
8154,33.11,3.4,92.13,1002.18
7687,34.99,2.7,92.5,1002.05
12091,34.88,2.25,91.06,1001.84
11334,23,2.65,92.5,1002.58
11335,26.6,2.95,93.88,1001.38
35752,21.44,3,92.5,1003.86
90555,60.2,3.68,88.19,1004.46
2454,NA,NA,NA,NA
6093,21.46,4.04,92.13,1002.6
10363,25.59,3.11,92.56,1000.85
7580,25.01,2.91,92.5,1002.32
312,NA,NA,NA,NA
96253,35.54,2.92,86.38,1004.54
7983,NA,NA,NA,NA
38550,12.89,3.45,91.5,1002.06
37713,NA,NA,NA,NA
38551,31.75,2.64,91.5,1003.91
37248,31,3.25,92.13,1001.56
7059,40.39,2.45,91.14,1001.43
11672,NA,NA,NA,NA
31121,13.54,3.36,93.63,1003.48
6074,31.53,2.06,92.38,1004.39
11660,22.82,3.73,67.51,1002.47
7994,3.46,5.74,89.81,1001.97
286,18.1,3.46,92.43,1002.62
2890,16.21,4.59,88.35,1003.47
2564,1.34,3.18,88.71,1003.6
86689,23.51,2.3,93.25,1004.16
38554,20.82,2.69,91.44,1005.01
38557,16.5,3.28,84.69,1003.05
97309,57.72,3.91,87.96,1000.82
42635,36.68,2.55,93.25,1003.92
11693,25.11,2.61,92.38,1002.39
681,80.62,3.75,92.5,1004.03
7008,29.82,3.82,91.56,1001.71
2553,22.2,3.27,92.5,1004.54
371,NA,NA,NA,NA
42636,9.15,5.33,89.81,1002.91
86561,56.52,2.49,92.5,1003.03
37924,NA,NA,NA,NA
