"ID","PM25","Temperatura","Wilgotnosc","Cisnienie"
8077,27.47,8.16,90.65,1002.76
10211,31.6,6.05,73.15,1002.24
87160,33.09,7.99,90.25,1004.93
103967,NA,NA,NA,NA
103904,30.16,9.26,85.13,1004.15
86934,27.16,7.6,90.6,1001.12
58,NA,NA,NA,NA
17,29.93,NA,NA,NA
87166,NA,NA,NA,NA
87164,34.85,5.89,83.83,1004.64
10043,37.14,5.84,88.42,1002.54
101557,28.63,NA,NA,1003.71
8076,20.61,8.69,89.5,NA
103969,35.3,7.93,88.31,1005.52
37818,29.91,6.76,89.82,1002.75
86949,24.74,7.87,89.13,1001.17
2935,26.2,7.57,90.34,1003.93
38444,25.42,7.48,89.5,1002.63
39735,27.23,7.92,88.78,1000.4
106665,25.37,7.92,89.13,1001.26
86936,27.04,7.78,67.57,1001.96
8165,27.61,7.7,90.71,1001.37
10053,30.86,5.78,88.09,1002.75
10039,31.29,5.82,88.3,1002.76
1026,26.54,8.59,89.14,1000.98
86941,20.96,7.84,90.63,1000.71
86980,26.69,7.81,89,1001.18
90118,26.32,7.66,84.17,1003.16
86909,23.67,8.51,87.45,1003.42
39577,37.9,8.28,90.63,1002.78
18410,NA,NA,NA,NA
87029,24.31,NA,NA,1003.31
86932,31.74,7.53,90.52,1001.02
60,NA,NA,NA,NA
86904,26.92,7.34,65.96,1002.03
97303,33.47,8.85,86.31,1002.53
10279,27.64,6.52,76.78,1002.11
43068,27.75,7.84,85.51,1002.5
10042,24.4,6.52,76.55,1003.84
10032,27.97,8.15,88.88,NA
86918,23.41,7.84,67.73,1001.62
80731,27.26,7.48,65.94,1002.23
86898,NA,NA,NA,NA
103971,24.76,8.43,85.79,1004.55
86906,24.69,8.19,89.5,1003.27
41210,21.09,7.52,76.65,1001.88
87058,26.24,6.72,90.63,1001.64
8973,23.77,NA,NA,1001.38
40699,27.03,6.48,90.62,1003.95
7956,22.36,7.61,89.5,1000.36
33033,28.81,6.98,90.52,1002.68
86901,NA,NA,NA,NA
103387,27.22,6.75,91.19,1001.97
86915,20.19,7.73,90.63,1001.24
7634,NA,NA,NA,NA
90388,23.75,7.96,81.52,1002.49
10463,21.94,7.15,89.25,1001.67
32907,27.93,NA,NA,1002.36
11248,14.25,6.96,78.82,1001.27
86896,21.83,8.14,89.5,1001.55
40571,20.9,7.15,90.52,1002.85
18,NA,NA,NA,NA
42665,36.23,9.53,88.88,1001.08
86899,20.17,9.03,90.63,1003.21
86840,NA,NA,NA,NA
90552,20.42,8.35,85.44,1003.76
86905,26.45,7.75,90.63,1000.25
103311,20.8,10.16,80.28,1002.96
41246,20.64,7.82,89.13,1001.51
5651,28.82,7.76,90.63,1001.17
2513,32.91,7.58,90.63,1002.92
36605,36.34,7.21,90.63,1001.59
7456,34.46,8.34,89.5,999.35
5624,23.93,8.09,89.13,1003.89
87014,38.73,7.49,83.33,1002.85
11473,31.6,7.39,89.13,1001.5
98153,30.48,9.83,82.19,1002.22
59,NA,NA,NA,NA
86917,NA,NA,NA,NA
7617,36.07,7.67,64.8,1000.64
39433,19.58,8.03,88.88,1002.32
86800,17.47,7.88,89.13,1002.59
8979,33.61,7.34,90.63,1001.51
86920,NA,NA,NA,NA
86914,17.52,7.53,64.15,1001.83
238,22.57,7.81,89.47,1003.23
36475,18.6,7.66,90.63,1002.02
36654,36.16,6.91,89.47,1001.89
7758,NA,NA,NA,NA
9077,20.46,8.03,89.5,1001.13
7844,15.53,7.48,91.25,1001.46
102630,34.22,7.83,79.34,1001.51
86910,14.45,8,89.13,1001.98
86925,22.69,7.49,68.93,1002.17
86961,25.57,7.56,90.94,1002.99
6070,22.95,7.99,89.5,1003.05
6147,28.77,7.03,90.85,1000.89
33053,32.94,7.18,91.25,1001.82
19,21.06,NA,NA,NA
86998,26.7,7.3,89.5,1002.94
38615,15.07,7.66,89.13,1002.33
5709,28.51,7.28,65.93,1000.79
7683,43.95,7.26,90.63,1002.27
18769,28.12,7.48,91.25,1002.21
101102,24.7,9.24,83.69,1002.85
86902,25.19,8,88.13,1000.97
12001,NA,NA,NA,NA
18768,33.44,6.93,91.31,1001.92
82510,54.55,NA,NA,1002.75
86963,30.14,8.13,89.35,1001.93
7915,22.18,7.32,65.93,1001.61
6068,33.01,8.18,89.5,1001.15
101104,20.85,9.09,84.5,996.33
32985,17.98,7.12,90.63,1002.34
7554,38.18,7.24,90.63,1001.59
42516,19.63,8.03,87.63,1000.84
96339,25.73,9.64,80.41,1002.9
82333,30.29,6.81,89.09,1003.71
246,20.49,7.86,89.33,1002.49
90148,23.32,7.26,84.67,1002.92
2865,15.42,7.84,64.44,1003.78
36477,35.88,7.45,91.21,1000.82
13167,13.52,7.7,88.75,1001.39
36480,17.93,7.78,89.13,1001.48
8152,18.73,7.44,72.78,1003.28
7467,NA,NA,NA,NA
7768,11.55,7.82,89.13,1001.9
103261,24.55,9.46,82.29,1003.01
36742,16.53,7.13,89.18,1001.7
10051,52.08,6.56,88.75,1001.15
7584,10.67,7.73,89.13,1000.47
7917,11.55,8.18,88.88,999.94
32871,19.24,7.35,91.35,1001.02
7385,8.54,NA,NA,1000.72
31130,39.11,7.08,91.25,1001.81
397,77.51,7.48,91.29,1001.46
5649,26.36,7.71,70.94,1000.86
5759,4.77,8.08,89.13,1001.05
11958,20.71,6.47,88.75,1001.58
103326,21.36,7.33,85.8,1003.1
354,29.74,8.14,89.47,1001.6
43262,36.13,6.85,88.75,1003.63
33052,28.83,7.25,91.31,1001.15
9996,NA,NA,NA,NA
2467,10.39,8.41,64.21,1002.52
7656,3.67,8.1,81.77,1001.22
7427,20.33,7.06,89.44,1003.12
811,22.83,8.29,91.28,1001.1
335,43.01,7.26,83.86,NA
11359,6,8.17,87.44,1003.07
101090,26.4,8.91,86.9,1003.64
7386,1.48,7.54,87.44,1000.33
11337,28.17,8.07,88.13,1001.04
86610,NA,NA,NA,NA
6076,6.97,8.33,87.63,1001.49
32810,30.16,7.77,88.94,1001.16
36808,18.37,8.91,89.13,1002.31
11483,9.04,8.24,87.63,1000.72
7383,10.9,8.08,86.2,1000.97
13209,24.69,6.55,74.24,1001.04
90353,7.29,7.43,83.18,1002.89
102632,NA,NA,NA,NA
7055,15.04,6.47,83.76,1001.3
33050,22.87,7.42,91.27,1001.54
98109,26.19,8.53,81.68,1002.62
37252,24.88,7.3,88.94,1001.94
40334,16.32,NA,NA,1003.62
492,12.72,7.32,88.82,1001.23
18506,5.66,8.39,84.86,1002.34
37595,6.15,7.91,88.88,1001.48
64,NA,NA,NA,NA
86715,2.14,7.84,89.13,1003.59
521,28.74,8.41,91.28,999.57
100427,36.67,9.15,85.37,996.07
9008,9.07,8.03,87.63,1001.58
2832,35.19,7.43,88.94,1003.6
101120,16.16,9.23,78.22,1003.48
12010,20.7,6.21,89.13,1002.66
366,NA,NA,NA,NA
7850,0.8,7.99,87.44,1000.44
503,26.8,7.67,91.28,1001.42
7012,31.22,7.7,90.94,999.75
87002,36.35,7.69,80.8,1002.33
97487,35.27,7.4,83.06,1002.74
18622,4.03,7.18,88.56,1002.97
8126,22.11,6.53,88.75,1001.18
2827,39.99,7.81,88.94,1002.98
615,13.99,8,91.36,1000.25
2066,NA,NA,NA,NA
326,11.37,7.5,87.03,999.89
620,1.76,6.93,88.66,1001.02
86723,35.37,9.4,86.03,1002.68
