"ID";"PM25";"Temperatura";"Wilgotnosc";"Cisnienie"
37252;23,84;0,85;90,88;1012,79
40334;17,82;NA;NA;1014,05
492;17,6;3,39;78,04;1011,6
18506;33,44;2,49;89,81;1012,94
37595;9,11;4,64;90;1011,43
64;NA;NA;NA;NA
86715;19,67;1,55;91,21;1013,85
521;19,36;5,33;92,58;1010,02
100427;34,66;3,03;89,18;1006,64
9008;42,72;1,32;89,81;1012,15
2832;24,98;1,27;91;1014,51
101120;11,47;4,01;84,57;1013,5
12010;19,28;1,09;89,69;1013,09
366;NA;NA;NA;NA
7850;1,54;1,19;79,12;1011,55
503;28,78;1,83;92,58;1012,29
7012;26,2;1,45;91,75;1010,61
87002;23,7;0,97;85,87;1012,95
97487;41,94;0,58;86,35;1013,68
18622;12,34;1,78;89,58;1013,15
8126;21,84;0,61;89,69;1011,75
2827;23,36;0,94;91;1013,91
615;16,05;2,88;90,25;1010,69
2066;NA;NA;NA;NA
326;8,82;3,35;89,56;1009,81
620;9,86;1,94;89,64;1011,02
86723;39,84;2,76;88,59;1013,59
40916;21,17;2,01;90,25;1014,39
87003;21,39;1,93;89,45;1013,95
82310;9,2;1,56;90;1011,79
37719;14,46;1,28;89,63;1012,68
87191;23,74;1,06;85,6;1013,1
6887;9,66;3,36;65,54;1009,48
31100;17,68;1,84;65,63;1011,56
18512;NA;NA;NA;NA
2545;16,63;3,68;90,88;1013,79
2599;20,83;1,5;89,69;1013,85
11990;17,74;1,28;90,25;1012,6
87172;32,27;0,44;91,05;1013,73
32808;25,39;0,2;66,3;1013,29
90144;14,58;1,65;90,25;1013,38
6116;24,12;1,21;67,82;1014,54
7912;17,69;1,24;90,25;1011,84
37250;20,42;1,17;90,7;1012,94
7384;7,91;2,89;65,31;1012,18
318;16,38;1,62;65,23;1011,93
86688;NA;NA;NA;NA
39463;26,8;1,76;92,13;1013,87
2869;19,75;1,11;90,81;1014,33
11336;22,01;1;90,88;1012,1
2655;26,57;2,09;92,56;1014,64
103086;18,89;2,41;88,45;1013,4
98106;23,15;3,13;87,87;1013,01
18766;26,25;1,65;89,42;1013,74
6628;23,74;1,48;91;1011,1
2739;21,28;1,73;81,55;1013,57
9106;NA;NA;NA;NA
101088;22,59;6,42;68,26;1013,69
32851;NA;NA;NA;NA
5761;10,54;2,46;89,63;1011,61
98156;42,98;4,69;87,44;1006,45
36939;14,39;4,51;89,69;1011,39
35766;27,82;1,14;89,88;1012,48
87286;45,56;1,14;83,76;1012,86
2554;13,81;2,35;89,63;1014,02
90026;23,67;1,64;87,1;1012,47
6649;26,08;3,93;68,07;1010,76
100095;54,07;2,33;88,91;1014,41
7458;32,86;2,51;91,36;1011,36
6072;21,53;1,25;91;1012,01
6891;8,39;3,32;89,64;1010,54
11338;21,91;1,59;91;1013,76
2651;7,5;2,06;91,5;1013,56
8816;15,95;1,57;90,88;1012,34
6456;18,66;0,09;90,88;1014,21
87053;7,73;5,21;74,45;1013,72
2975;73,58;0,78;82,39;1011,75
317;29,3;1,51;89,87;1013,68
7051;NA;NA;NA;NA
31123;19,42;1,87;89,81;1012,47
39611;26,05;1,17;91;1012,81
2383;29,1;1,64;64,98;1013,15
43478;26,03;1,47;91;1013,9
11350;26,35;0,31;91;1010,97
8124;20,99;3,38;85,96;1011,3
7460;15,12;1,69;65,62;1011,25
5707;NA;NA;NA;NA
388;25,86;1,77;67,87;1011,1
87134;12,36;3,33;84,86;1013,27
2419;2,53;2,86;82,73;1012,96
87136;14,14;2,07;90,25;1012,84
2581;11,13;1,89;91,5;1012,87
10478;31,17;1,73;92,5;1012,37
8154;28,61;2,16;92,5;1012,04
7687;22,93;1,01;91;1011,67
12091;25,7;0,55;89,69;1010,8
11334;20,24;0,84;91;1012,2
11335;25,01;0,59;90,81;1011,1
35752;24,31;1,87;91;1013,37
90555;20,99;2,42;87,42;1014,17
2454;NA;NA;NA;NA
6093;19,69;2,59;92,5;1012,33
10363;22,41;5,69;91;1010,29
7580;20,3;5,94;77,55;1011,56
312;NA;NA;NA;NA
96253;32,06;2,85;82,52;1013,89
7983;NA;NA;NA;NA
38550;11,46;4,64;90,88;1011,2
37713;NA;NA;NA;NA
38551;40,29;1,48;90,88;1013,58
37248;23,51;2,88;91,76;1011,13
7059;26,98;0,89;89,69;1011,07
11672;NA;NA;NA;NA
31121;14,13;1,07;92,13;1012,95
6074;22,61;1,04;84,91;1014,05
11660;23,06;1,39;67,84;1012,49
7994;54,07;1,71;93,88;1011,97
286;14,6;1,46;91;1012,13
2890;17,05;3;91,29;1013,07
2564;0,5;1,67;74,93;1012,8
86689;26,12;0,62;91;1014,02
38554;32,42;0,82;90,25;1014,6
38557;12,92;1,6;70,98;1012,58
97309;20,56;2,79;88,53;1010,57
42635;25,17;0,82;90,94;1013,5
11693;24,02;3,41;91;1011,81
681;27,15;2,06;91;1013,89
7008;26,11;1,36;92,5;1011,59
2553;25,06;1,44;91;1013,88
371;NA;NA;NA;NA
42636;30,73;1,2;93,88;1012,59
86561;23,15;0,83;91;1012,76
37924;NA;NA;NA;NA
